,session_start_time,intercept,stim_contrast,stim_contrast_minus_1,response_cw_minus_1,response_cw
27727,2019-11-04T09:46:11Z,1,1.0,-1.0,0,False
27728,2019-11-04T09:46:11Z,1,-0.125,1.0,0,False
27729,2019-11-04T09:46:11Z,1,1.0,-1.0,0,False
27730,2019-11-04T09:46:11Z,1,0.125,1.0,0,False
27731,2019-11-04T09:46:11Z,1,0.125,1.0,0,False
27732,2019-11-04T09:46:11Z,1,0.125,1.0,0,False
27733,2019-11-04T09:46:11Z,1,-0.0625,1.0,0,True
27734,2019-11-04T09:46:11Z,1,-0.0625,-1.0,1,True
27735,2019-11-04T09:46:11Z,1,0.0625,-1.0,1,True
27736,2019-11-04T09:46:11Z,1,1.0,1.0,1,False
27737,2019-11-04T09:46:11Z,1,-1.0,1.0,0,True
27738,2019-11-04T09:46:11Z,1,0.0,-1.0,1,True
27739,2019-11-04T09:46:11Z,1,0.25,0.0,1,True
27740,2019-11-04T09:46:11Z,1,0.25,1.0,1,True
27741,2019-11-04T09:46:11Z,1,0.0,1.0,1,True
27742,2019-11-04T09:46:11Z,1,0.25,0.0,1,False
27743,2019-11-04T09:46:11Z,1,0.25,1.0,0,False
27744,2019-11-04T09:46:11Z,1,0.125,1.0,0,False
27745,2019-11-04T09:46:11Z,1,-0.125,1.0,0,False
27746,2019-11-04T09:46:11Z,1,0.0,-1.0,0,True
27747,2019-11-04T09:46:11Z,1,0.125,0.0,1,True
27748,2019-11-04T09:46:11Z,1,0.25,1.0,1,False
27749,2019-11-04T09:46:11Z,1,0.25,1.0,0,False
27750,2019-11-04T09:46:11Z,1,0.25,1.0,0,False
27751,2019-11-04T09:46:11Z,1,0.0625,1.0,0,False
27752,2019-11-04T09:46:11Z,1,0.125,1.0,0,False
27753,2019-11-04T09:46:11Z,1,0.0625,1.0,0,True
27754,2019-11-04T09:46:11Z,1,0.0,1.0,1,False
27755,2019-11-04T09:46:11Z,1,0.125,0.0,0,False
27756,2019-11-04T09:46:11Z,1,0.0,1.0,0,False
27757,2019-11-04T09:46:11Z,1,1.0,0.0,0,True
27758,2019-11-04T09:46:11Z,1,0.0625,1.0,1,False
27759,2019-11-04T09:46:11Z,1,0.0,1.0,0,False
27760,2019-11-04T09:46:11Z,1,-1.0,0.0,0,True
27761,2019-11-04T09:46:11Z,1,0.25,-1.0,1,True
27762,2019-11-04T09:46:11Z,1,-0.25,1.0,1,False
27763,2019-11-04T09:46:11Z,1,-0.125,-1.0,0,True
27764,2019-11-04T09:46:11Z,1,0.0625,-1.0,1,True
27765,2019-11-04T09:46:11Z,1,0.0,1.0,1,True
27766,2019-11-04T09:46:11Z,1,-0.25,0.0,1,True
27767,2019-11-04T09:46:11Z,1,0.0,-1.0,1,True
27768,2019-11-04T09:46:11Z,1,0.125,0.0,1,False
27769,2019-11-04T09:46:11Z,1,0.0,1.0,0,True
27770,2019-11-04T09:46:11Z,1,-1.0,0.0,1,True
27771,2019-11-04T09:46:11Z,1,0.0,-1.0,1,True
27772,2019-11-04T09:46:11Z,1,0.0625,0.0,1,False
27773,2019-11-04T09:46:11Z,1,-0.0625,1.0,0,False
27774,2019-11-04T09:46:11Z,1,0.25,-1.0,0,False
27775,2019-11-04T09:46:11Z,1,-0.25,1.0,0,True
27776,2019-11-04T09:46:11Z,1,-0.0625,-1.0,1,True
27777,2019-11-04T09:46:11Z,1,0.125,-1.0,1,False
27778,2019-11-04T09:46:11Z,1,0.0,1.0,0,False
27779,2019-11-04T09:46:11Z,1,1.0,0.0,0,False
27780,2019-11-04T09:46:11Z,1,-0.125,1.0,0,True
27781,2019-11-04T09:46:11Z,1,0.0,-1.0,1,True
27782,2019-11-04T09:46:11Z,1,0.125,0.0,1,False
27783,2019-11-04T09:46:11Z,1,-1.0,1.0,0,True
27784,2019-11-04T09:46:11Z,1,0.0,-1.0,1,False
27785,2019-11-05T09:45:07Z,1,-0.125,0.0,0,True
27786,2019-11-05T09:45:07Z,1,-0.125,-1.0,1,True
27787,2019-11-05T09:45:07Z,1,0.0,-1.0,1,True
27788,2019-11-05T09:45:07Z,1,0.25,0.0,1,True
27789,2019-11-05T09:45:07Z,1,-0.0625,1.0,1,True
27790,2019-11-05T09:45:07Z,1,0.0,-1.0,1,True
27791,2019-11-05T09:45:07Z,1,0.25,0.0,1,False
27792,2019-11-05T09:45:07Z,1,0.25,1.0,0,True
27793,2019-11-05T09:45:07Z,1,0.125,1.0,1,True
27794,2019-11-05T09:45:07Z,1,-0.125,1.0,1,False
27795,2019-11-05T09:45:07Z,1,-0.0625,-1.0,0,False
27796,2019-11-05T09:45:07Z,1,0.25,-1.0,0,False
27797,2019-11-05T09:45:07Z,1,0.0,1.0,0,False
27798,2019-11-05T09:45:07Z,1,1.0,0.0,0,False
27799,2019-11-05T09:45:07Z,1,-0.25,1.0,0,True
27800,2019-11-05T09:45:07Z,1,-0.25,-1.0,1,True
27801,2019-11-05T09:45:07Z,1,0.125,-1.0,1,True
27802,2019-11-05T09:45:07Z,1,-0.125,1.0,1,True
27803,2019-11-05T09:45:07Z,1,0.0,-1.0,1,True
27804,2019-11-05T09:45:07Z,1,-0.25,0.0,1,False
27805,2019-11-05T09:45:07Z,1,-0.0625,-1.0,0,True
27806,2019-11-05T09:45:07Z,1,-1.0,-1.0,1,True
27807,2019-11-05T09:45:07Z,1,0.0,-1.0,1,True
27808,2019-11-05T09:45:07Z,1,0.25,0.0,1,False
27809,2019-11-05T09:45:07Z,1,-0.0625,1.0,0,False
27810,2019-11-05T09:45:07Z,1,-0.125,-1.0,0,True
27811,2019-11-05T09:45:07Z,1,-1.0,-1.0,1,True
27812,2019-11-05T09:45:07Z,1,-0.0625,-1.0,1,True
27813,2019-11-05T09:45:07Z,1,-0.0625,-1.0,1,True
27814,2019-11-05T09:45:07Z,1,0.125,-1.0,1,True
27815,2019-11-05T09:45:07Z,1,0.125,1.0,1,True
27816,2019-11-05T09:45:07Z,1,0.0,1.0,1,True
27817,2019-11-05T09:45:07Z,1,-1.0,0.0,1,True
27818,2019-11-05T09:45:07Z,1,-0.0625,-1.0,1,True
27819,2019-11-05T09:45:07Z,1,0.25,-1.0,1,True
27820,2019-11-05T09:45:07Z,1,-1.0,1.0,1,True
27821,2019-11-05T09:45:07Z,1,0.125,-1.0,1,True
27822,2019-11-05T09:45:07Z,1,1.0,1.0,1,True
27823,2019-11-05T09:45:07Z,1,-0.25,1.0,1,True
27824,2019-11-05T09:45:07Z,1,0.125,-1.0,1,True
27825,2019-11-05T09:45:07Z,1,-1.0,1.0,1,True
27826,2019-11-05T09:45:07Z,1,-1.0,-1.0,1,True
27827,2019-11-05T09:45:07Z,1,-1.0,-1.0,1,True
27828,2019-11-05T09:45:07Z,1,0.0,-1.0,1,True
27829,2019-11-05T09:45:07Z,1,0.25,0.0,1,False
27830,2019-11-05T09:45:07Z,1,0.125,1.0,0,False
27831,2019-11-05T09:45:07Z,1,-0.125,1.0,0,False
27832,2019-11-05T09:45:07Z,1,-0.25,-1.0,0,True
27833,2019-11-05T09:45:07Z,1,0.125,-1.0,1,False
27834,2019-11-05T09:45:07Z,1,-1.0,1.0,0,True
27835,2019-11-05T09:45:07Z,1,-0.0625,-1.0,1,False
27836,2019-11-05T09:45:07Z,1,0.0,-1.0,0,False
27837,2019-11-05T09:45:07Z,1,0.0,0.0,0,True
27838,2019-11-05T09:45:07Z,1,0.0,0.0,1,True
27839,2019-11-05T09:45:07Z,1,-0.125,0.0,1,False
27840,2019-11-05T09:45:07Z,1,1.0,-1.0,0,False
27841,2019-11-05T09:45:07Z,1,-0.25,1.0,0,True
27842,2019-11-05T09:45:07Z,1,-0.25,-1.0,1,True
27843,2019-11-05T09:45:07Z,1,0.0,-1.0,1,True
27844,2019-11-05T09:45:07Z,1,0.125,0.0,1,False
27845,2019-11-05T09:45:07Z,1,-0.25,1.0,0,True
27846,2019-11-05T09:45:07Z,1,-0.25,-1.0,1,True
27847,2019-11-05T09:45:07Z,1,-0.25,-1.0,1,True
27848,2019-11-05T09:45:07Z,1,0.0,-1.0,1,True
27849,2019-11-05T09:45:07Z,1,-1.0,0.0,1,True
